"name","latitude","longitude"
"Nicotiana glauca Graham",41.542139,2.233187
"Nicotiana glauca Graham",36.825291,-2.521942
"Nicotiana glauca Graham",28.661224,-13.835328
"Nicotiana glauca Graham",28.66011,-13.834115
"Nicotiana glauca Graham",28.074913,-16.54337
"Nicotiana glauca Graham",28.509949,-14.032979
"Nicotiana glauca Graham",28.350283,-16.915203
"Nicotiana glauca Graham",28.082024,-14.377369
"Nicotiana glauca Graham",38.64469,0.070367
"Nicotiana glauca Graham",28.646144,-17.937511
"Nicotiana glauca Graham",36.834332,-2.485387
"Nicotiana glauca Graham",28.620813,-13.92769
"Nicotiana glauca Graham",38.633927,0.071583
"Nicotiana glauca Graham",28.89543,-13.783913
"Nicotiana glauca Graham",27.979706,-15.474307
"Nicotiana glauca Graham",38.567192,-0.143262
"Nicotiana glauca Graham",28.415378,-14.05696
"Nicotiana glauca Graham",38.177963,-0.76977
"Nicotiana glauca Graham",28.055279,-16.712669
"Nicotiana glauca Graham",37.581655,-0.974278
"Nicotiana glauca Graham",28.125042,-16.725061
"Nicotiana glauca Graham",27.896692,-15.287699
"Nicotiana glauca Graham",28.072472,-16.65233
"Nicotiana glauca Graham",36.734787,-3.724962
"Nicotiana glauca Graham",28.082399,-16.669609
"Nicotiana glauca Graham",39.476561,-0.589072
"Nicotiana glauca Graham",38.64469,0.070367
"Nicotiana glauca Graham",37.337389,-1.924497
"Nicotiana glauca Graham",28.50547,-16.190384
"Nicotiana glauca Graham",37.57388,-1.178707
"Nicotiana glauca Graham",38.633927,0.071583
"Nicotiana glauca Graham",36.771563,-2.112975
"Nicotiana glauca Graham",36.723675,-4.230112
"Nicotiana glauca Graham",36.723658,-4.230125
"Nicotiana glauca Graham",38.567192,-0.143262
"Nicotiana glauca Graham",28.589722,-13.947222
"Nicotiana glauca Graham",28.397755,-16.586062
"Nicotiana glauca Graham",28.513488,-14.031447
"Nicotiana glauca Graham",36.761843,-2.110028
"Nicotiana glauca Graham",28.070387,-16.721836
"Nicotiana glauca Graham",28.070103,-16.723381
"Nicotiana glauca Graham",38.030849,-1.152831
"Nicotiana glauca Graham",37.427311,-1.923643
"Nicotiana glauca Graham",37.300095,-1.946478
"Nicotiana glauca Graham",37.27224,-1.904914
"Nicotiana glauca Graham",36.822601,-2.152985
"Nicotiana glauca Graham",36.816036,-2.170281
"Nicotiana glauca Graham",37.018783,-4.545079
"Nicotiana glauca Graham",27.802685,-15.684232
"Nicotiana glauca Graham",28.021731,-16.705647
"Nicotiana glauca Graham",27.827983,-17.942867
"Nicotiana glauca Graham",36.888115,-2.00151
"Nicotiana glauca Graham",27.75788,-18.110525
"Nicotiana glauca Graham",35.885262,-5.310787
"Nicotiana glauca Graham",28.41388,-16.530618
"Nicotiana glauca Graham",28.389816,-16.582291
"Nicotiana glauca Graham",28.122414,-16.773703
"Nicotiana glauca Graham",38.247957,-0.812239
"Nicotiana glauca Graham",37.014247,-4.555139
"Nicotiana glauca Graham",28.415844,-16.557903
"Nicotiana glauca Graham",38.261208,-0.823932
"Nicotiana glauca Graham",36.495591,-4.712693
"Nicotiana glauca Graham",36.814747,-2.232738
"Nicotiana glauca Graham",36.798532,-2.254147
"Nicotiana glauca Graham",36.947556,-2.141692
"Nicotiana glauca Graham",36.7097,-3.3923
"Nicotiana glauca Graham",36.826531,-2.439715
"Nicotiana glauca Graham",36.826735,-2.440221
"Nicotiana glauca Graham",36.828394,-2.443142
"Nicotiana glauca Graham",36.828669,-2.443249
"Nicotiana glauca Graham",28.473937,-16.316297
"Nicotiana glauca Graham",36.736771,-4.270824
"Nicotiana glauca Graham",38.413195,-0.470432
"Nicotiana glauca Graham",28.955281,-13.646219
"Nicotiana glauca Graham",28.452877,-16.274974
"Nicotiana glauca Graham",36.636658,-6.393055
"Nicotiana glauca Graham",36.717038,-3.507213
"Nicotiana glauca Graham",37.096563,-2.077215
"Nicotiana glauca Graham",28.577058,-16.140785
"Nicotiana glauca Graham",36.012158,-5.598797
"Nicotiana glauca Graham",28.357295,-16.90298
"Nicotiana glauca Graham",36.528713,-6.292919
"Nicotiana glauca Graham",28.032394,-15.398156
"Nicotiana glauca Graham",38.64215,0.06838
"Nicotiana glauca Graham",28.389451,-16.519905
"Nicotiana glauca Graham",37.014006,-4.554847
"Nicotiana glauca Graham",36.721783,-4.416277
"Nicotiana glauca Graham",36.439386,-5.270572
"Nicotiana glauca Graham",28.101703,-15.425292
"Nicotiana glauca Graham",29.164661,-13.493403
"Nicotiana glauca Graham",28.528195,-14.065652
"Nicotiana glauca Graham",28.051101,-15.482377
"Nicotiana glauca Graham",38.56767,-0.143167
